usage_date_utc,model,workspace,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_read,usage_output_tokens
2026-08-01,claude-sonnet-4-6-20260115,prod,36976478,0,0,4304572
2026-08-01,claude-haiku-4-5-20251001,prod,8773903,300000,4000000,1168493
2026-08-02,claude-sonnet-4-6-20260115,prod,34279927,0,0,4014679
2026-08-02,claude-haiku-4-5-20251001,prod,10111917,300000,4000000,1242414
2026-08-03,claude-sonnet-4-6-20260115,prod,42147516,0,0,4199561
2026-08-03,claude-haiku-4-5-20251001,prod,9394769,300000,4000000,1218532
2026-08-04,claude-sonnet-4-6-20260115,prod,31335749,0,0,4442100
2026-08-04,claude-haiku-4-5-20251001,prod,9506384,300000,4000000,1249881
2026-08-05,claude-sonnet-4-6-20260115,prod,31234541,0,0,3402444
2026-08-05,claude-haiku-4-5-20251001,prod,8110384,300000,4000000,1153181
2026-08-06,claude-sonnet-4-6-20260115,prod,39221783,0,0,4081635
2026-08-06,claude-haiku-4-5-20251001,prod,9520974,300000,4000000,1135776
2026-08-07,claude-sonnet-4-6-20260115,prod,39234812,0,0,4257661
2026-08-07,claude-haiku-4-5-20251001,prod,8338862,300000,4000000,1371753
2026-08-08,claude-sonnet-4-6-20260115,prod,40226437,0,0,4578802
2026-08-08,claude-haiku-4-5-20251001,prod,8379667,300000,4000000,1126048
2026-08-09,claude-sonnet-4-6-20260115,prod,36623813,0,0,4057431
2026-08-09,claude-haiku-4-5-20251001,prod,9632078,300000,4000000,1224842
2026-08-10,claude-sonnet-4-6-20260115,prod,36210580,0,0,3717235
2026-08-10,claude-haiku-4-5-20251001,prod,8479409,300000,4000000,1322092
2026-08-11,claude-sonnet-4-6-20260115,prod,34768214,0,0,4197903
2026-08-11,claude-haiku-4-5-20251001,prod,9426518,300000,4000000,1051025
2026-08-12,claude-sonnet-4-6-20260115,prod,38193897,0,0,4622497
2026-08-12,claude-haiku-4-5-20251001,prod,6985636,300000,4000000,1167840
2026-08-13,claude-sonnet-4-6-20260115,prod,37575443,0,0,3773095
2026-08-13,claude-haiku-4-5-20251001,prod,9497390,300000,4000000,1193772
2026-08-14,claude-sonnet-4-6-20260115,prod,32141373,0,0,4431138
2026-08-14,claude-haiku-4-5-20251001,prod,9669335,300000,4000000,1294584
2026-08-15,claude-sonnet-4-6-20260115,prod,43762389,0,0,4244897
2026-08-15,claude-haiku-4-5-20251001,prod,9119274,300000,4000000,1070083
2026-08-16,claude-sonnet-4-6-20260115,prod,40461772,0,0,3855296
2026-08-16,claude-haiku-4-5-20251001,prod,8547298,300000,4000000,1073521
2026-08-17,claude-sonnet-4-6-20260115,prod,34129542,0,0,3887551
2026-08-17,claude-haiku-4-5-20251001,prod,10288837,300000,4000000,996820
2026-08-18,claude-sonnet-4-6-20260115,prod,32169177,0,0,4195740
2026-08-18,claude-haiku-4-5-20251001,prod,10443349,300000,4000000,1257849
2026-08-19,claude-sonnet-4-6-20260115,prod,30400226,0,0,3092706
2026-08-19,claude-haiku-4-5-20251001,prod,9357397,300000,4000000,1126373
2026-08-20,claude-sonnet-4-6-20260115,prod,33520853,0,0,4490948
2026-08-20,claude-haiku-4-5-20251001,prod,10101786,300000,4000000,1215725
2026-08-21,claude-sonnet-4-6-20260115,prod,38983106,0,0,4273745
2026-08-21,claude-haiku-4-5-20251001,prod,10594004,300000,4000000,1261902
2026-08-22,claude-sonnet-4-6-20260115,prod,40074598,0,0,4319095
2026-08-22,claude-haiku-4-5-20251001,prod,7431689,300000,4000000,1328173
2026-08-23,claude-sonnet-4-6-20260115,prod,41820408,0,0,4311849
2026-08-23,claude-haiku-4-5-20251001,prod,7026124,300000,4000000,1136631
2026-08-24,claude-sonnet-4-6-20260115,prod,41369214,0,0,3375514
2026-08-24,claude-haiku-4-5-20251001,prod,8815977,300000,4000000,1301952
2026-08-25,claude-sonnet-4-6-20260115,prod,32755245,0,0,4744042
2026-08-25,claude-haiku-4-5-20251001,prod,9551963,300000,4000000,1184986
2026-08-26,claude-sonnet-4-6-20260115,prod,39299467,0,0,4359932
2026-08-26,claude-haiku-4-5-20251001,prod,9120393,300000,4000000,1314566
2026-08-27,claude-sonnet-4-6-20260115,prod,35353821,0,0,3934105
2026-08-27,claude-haiku-4-5-20251001,prod,10041684,300000,4000000,1202679
2026-08-28,claude-sonnet-4-6-20260115,prod,34478143,0,0,4478582
2026-08-28,claude-haiku-4-5-20251001,prod,10465497,300000,4000000,1155517
2026-08-29,claude-sonnet-4-6-20260115,prod,32480027,0,0,4046100
2026-08-29,claude-haiku-4-5-20251001,prod,8850981,300000,4000000,1170200
2026-08-30,claude-sonnet-4-6-20260115,prod,43619081,0,0,3689225
2026-08-30,claude-haiku-4-5-20251001,prod,10260586,300000,4000000,1073167
