start_time_iso,model,project_id,num_model_requests,input_tokens,input_cached_tokens,output_tokens,batch
2026-08-01T00:00:00Z,gpt-6-sol,proj_main,7527,41894563,6000000,3838607,false
2026-08-01T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21288,22690449,0,2028471,false
2026-08-02T00:00:00Z,gpt-6-sol,proj_main,8091,41725840,6000000,3447140,false
2026-08-02T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20416,23145453,0,2000167,false
2026-08-03T00:00:00Z,gpt-6-sol,proj_main,8458,41697634,6000000,4103189,false
2026-08-03T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20487,21144814,0,1925489,false
2026-08-04T00:00:00Z,gpt-6-sol,proj_main,7992,42771353,6000000,3399030,false
2026-08-04T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20578,25674602,0,1487064,false
2026-08-05T00:00:00Z,gpt-6-sol,proj_main,7325,40731691,6000000,3619500,false
2026-08-05T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20357,21137697,0,2131029,false
2026-08-06T00:00:00Z,gpt-6-sol,proj_main,8169,38433845,6000000,4229016,false
2026-08-06T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,20532,20891542,0,1980110,false
2026-08-07T00:00:00Z,gpt-6-sol,proj_main,7864,39811775,6000000,2681574,false
2026-08-07T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19269,24017139,0,1766287,false
2026-08-08T00:00:00Z,gpt-6-sol,proj_main,7959,42860516,6000000,3756853,false
2026-08-08T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,22236,18597173,0,1929324,false
2026-08-09T00:00:00Z,gpt-6-sol,proj_main,7795,41869869,6000000,3827536,false
2026-08-09T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,15975,24177358,0,1710491,false
2026-08-10T00:00:00Z,gpt-6-sol,proj_main,8409,35523584,6000000,3552755,false
2026-08-10T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21791,21701360,0,2038220,false
2026-08-11T00:00:00Z,gpt-6-sol,proj_main,8478,40424131,6000000,3473455,false
2026-08-11T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,22299,24096941,0,1941236,false
2026-08-12T00:00:00Z,gpt-6-sol,proj_main,9647,36559482,6000000,3774382,false
2026-08-12T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19601,22264731,0,2141001,false
2026-08-13T00:00:00Z,gpt-6-sol,proj_main,8133,41915935,6000000,3041802,false
2026-08-13T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,17735,23229885,0,1807368,false
2026-08-14T00:00:00Z,gpt-6-sol,proj_main,7384,35589581,6000000,3879914,false
2026-08-14T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21119,24946149,0,1812452,false
2026-08-15T00:00:00Z,gpt-6-sol,proj_main,8000,36579079,6000000,3729811,false
2026-08-15T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,22384,20219557,0,2312066,false
2026-08-16T00:00:00Z,gpt-6-sol,proj_main,8592,39466495,6000000,2908408,false
2026-08-16T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,22109,21807479,0,1879434,false
2026-08-17T00:00:00Z,gpt-6-sol,proj_main,8239,41229893,6000000,3949428,false
2026-08-17T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,18469,24272474,0,2297472,false
2026-08-18T00:00:00Z,gpt-6-sol,proj_main,8871,39458126,6000000,3276791,false
2026-08-18T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21527,22230370,0,2024837,false
2026-08-19T00:00:00Z,gpt-6-sol,proj_main,8854,39209690,6000000,2810982,false
2026-08-19T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,19419,18292153,0,2163756,false
2026-08-20T00:00:00Z,gpt-6-sol,proj_main,8190,38166378,6000000,3497120,false
2026-08-20T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21248,22157890,0,2265304,false
2026-08-21T00:00:00Z,gpt-6-sol,proj_main,7963,43121004,6000000,3947444,false
2026-08-21T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,22414,20656361,0,2175980,false
2026-08-22T00:00:00Z,gpt-6-sol,proj_main,6874,36749951,6000000,2911162,false
2026-08-22T00:00:00Z,gpt-4o-mini-2024-07-18,proj_main,21603,19536130,0,1997447,false
2026-08-23T00:00:00Z,gpt-6-sol,proj_main,7884,39914207,6000000,3322543,false
